iter	Logloss
197	0.3985844526
198	0.3985478697
199	0.3982990943
200	0.3981123484
201	0.398011023
202	0.397972077
203	0.3977967834
204	0.3977246048
205	0.3975876646
206	0.3974968311
207	0.397369784
208	0.3973207318
209	0.3972245776
210	0.3971385698
211	0.3969746665
212	0.3968702617
213	0.3967796753
214	0.3964895608
215	0.3963647393
216	0.3961756764
217	0.3960634987
218	0.3960188745
219	0.3959090124
220	0.3957070594
221	0.3955799124
222	0.3954786036
223	0.395325793
224	0.3953069158
225	0.3951304399
226	0.3949714686
227	0.3947394
228	0.3945187127
229	0.3944129561
230	0.3942560576
231	0.3940949354
232	0.3938886891
233	0.393759516
234	0.39351527
235	0.3934553548
236	0.3934265251
237	0.3932598013
238	0.393210148
239	0.3930338535
240	0.3929396601
241	0.3927897679
242	0.3926005316
243	0.3924640153
244	0.3922785902
245	0.3921980635
246	0.3921333096
247	0.3921122206
248	0.3920462248
249	0.3918290974
250	0.3917685157
251	0.3915709027
252	0.3914567948
253	0.3913219489
254	0.3912472593
255	0.3910980743
256	0.3909537783
257	0.3907747761
258	0.3907444806
259	0.3906008256
260	0.3905735053
261	0.3905128653
262	0.3903189673
263	0.3903080313
264	0.390216484
265	0.390158953
266	0.3900988709
267	0.3900168894
268	0.389762645
269	0.3896723411
270	0.3894937952
271	0.3893614111
272	0.3890648013
273	0.3889658929
274	0.3887925282
275	0.3886798339
276	0.3885891606
277	0.38845797
278	0.3882824164
279	0.3881436266
280	0.3880164815
281	0.3879844389
282	0.3878993607
283	0.3877251866
284	0.3875040712
285	0.3874209637
286	0.3873999682
287	0.3871905302
288	0.3870441728
289	0.3868265712
290	0.3867486439
291	0.3866103844
292	0.3864566564
293	0.3863301025
294	0.3862796853
295	0.3861597483
296	0.3860471658
297	0.3860333158
298	0.3858655814
299	0.3856705867
300	0.3856381538
301	0.3854492984
302	0.385331423
303	0.3851741052
304	0.3851056201
305	0.3850410484
306	0.3850286754
307	0.38487475
308	0.3848300794
309	0.3847957706
310	0.3847170152
311	0.3846837984
312	0.3844886424
313	0.3844452765
314	0.3842007441
315	0.3841059229
316	0.3839650352
317	0.3839172381
318	0.3837865706
319	0.3837829575
320	0.3836927354
321	0.3835424411
322	0.3834201235
323	0.3833220077
324	0.3832019455
325	0.3831620942
326	0.3830599563
327	0.3829898684
328	0.3829246413
329	0.3827241934
330	0.3825850162
331	0.3825341915
332	0.3824481833
333	0.3823921313
334	0.3822270107
335	0.3821160434
336	0.3820272011
337	0.3819916284
338	0.3818774761
339	0.381676419
340	0.3814907798
341	0.3813901432
342	0.3812796721
343	0.3812029129
344	0.3811431698
345	0.3810389229
346	0.3809561449
347	0.3808827818
348	0.3808368323
349	0.3806690451
350	0.3805964538
351	0.3804902488
352	0.3803683543
353	0.3802844797
354	0.3801652699
355	0.3799618021
356	0.3798590583
